id_municipio,nome_municipio,sigla_uf,nome_regiao,n_alunos_2024,presenca_2024,taxa_presentes_2024,taxa_alf_2024,risco_previsto_2024,idhm,ivs,cluster,alerta_participacao
4302709,Butiá,RS,Sul,230.0,0.809,0.5,0.404,0.578,0.689,0.379,1,False
4216057,São Cristovão do Sul,SC,Sul,91.0,0.549,0.5,0.275,0.595,0.665,0.354,1,True
4202057,Balneário Barra do Sul,SC,Sul,196.0,0.714,0.5,0.357,0.535,0.716,0.206,1,True
1703107,Barrolândia,TO,Norte,73.0,0.932,0.5,0.466,0.569,0.642,0.341,1,False
2210623,Sebastião Barros,PI,Nordeste,56.0,1.0,0.5,0.5,0.502,0.536,0.506,0,False
2400901,Antônio Martins,RN,Nordeste,55.0,0.873,0.5,0.436,0.632,0.578,0.465,0,False
1701903,Araguacema,TO,Norte,100.0,0.84,0.5,0.42,0.617,0.639,0.396,0,False
2912301,Ibicuí,BA,Nordeste,90.0,0.933,0.5,0.467,0.689,0.584,0.457,0,False
2109551,Ribamar Fiquene,MA,Nordeste,66.0,0.848,0.5,0.424,0.434,0.615,0.545,0,False
2500577,Algodão de Jandaíra,PB,Nordeste,58.0,0.897,0.5,0.448,0.435,0.548,0.467,0,False
2904803,Caatiba,BA,Nordeste,52.0,0.962,0.5,0.481,0.618,0.561,0.392,0,False
1713809,Palmeiras do Tocantins,TO,Norte,92.0,0.891,0.5,0.446,0.645,0.628,0.456,0,False
4320107,Sarandi,RS,Sul,253.0,0.846,0.5,0.423,0.475,0.777,0.189,1,False
2911501,Gongogi,BA,Nordeste,74.0,0.919,0.5,0.459,0.604,0.576,0.493,0,False
3513207,Cristais Paulista,SP,Sudeste,98.0,0.918,0.5,0.459,0.345,0.734,0.175,1,False
3152808,Prata,MG,Sudeste,384.0,0.87,0.5,0.435,0.403,0.695,0.322,1,False
2103505,Colinas,MA,Nordeste,425.0,0.922,0.5,0.461,0.434,0.596,0.603,0,False
1507961,Terra Alta,PA,Norte,83.0,0.867,0.5,0.434,0.588,0.605,0.507,0,False
5007505,Rochedo,MS,Centro-Oeste,100.0,0.9,0.5,0.45,0.534,0.651,0.3,1,False
2413003,São Vicente,RN,Nordeste,55.0,0.873,0.5,0.436,0.578,0.642,0.313,0,False
1505064,Novo Repartimento,PA,Norte,878.0,0.805,0.501,0.403,0.661,0.537,0.542,0,False
3524105,Ituverava,SP,Sudeste,312.0,0.913,0.502,0.458,0.41,0.765,0.278,1,False
2112456,Turilândia,MA,Nordeste,276.0,0.873,0.502,0.438,0.5,0.536,0.695,0,False
1503903,Juruti,PA,Norte,903.0,0.866,0.503,0.435,0.648,0.592,0.531,0,False
4302352,Bom Princípio,RS,Sul,188.0,0.91,0.503,0.457,0.455,0.746,0.158,1,False
1507607,São Miguel do Guamá,PA,Norte,790.0,0.856,0.503,0.43,0.594,0.591,0.506,0,False
2708709,São Miguel dos Milagres,AL,Nordeste,163.0,0.951,0.503,0.479,0.508,0.591,0.519,0,False
5007406,Rio Verde de Mato Grosso,MS,Centro-Oeste,339.0,0.85,0.503,0.428,0.543,0.673,0.327,1,False
1301902,Itacoatiara,AM,Norte,1303.0,0.881,0.503,0.444,0.595,0.644,0.378,0,False
2108504,Pindaré-Mirim,MA,Nordeste,442.0,0.903,0.504,0.455,0.455,0.633,0.534,0,False
1506104,Primavera,PA,Norte,146.0,0.911,0.504,0.459,0.531,0.577,0.603,0,False
